timestamp,open,close,high,low,volume,anomaly,method,date,kernai_daily_avg,gigachat_daily_avg,deepseek_daily_avg,daily_headlines,weighted_score_base,weighted_score_with_decay,return
2016-01-01 00:00:00+00:00,93.65,91.4,94.26,91.4,387147,0.0,pelt_rbf,2016-01-01,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,
2016-01-04 00:00:00+00:00,91.32,91.85,91.85,90.12,323393,0.0,pelt_rbf,2016-01-04,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.004923413566739532
2016-01-05 00:00:00+00:00,91.83,94.3,94.47,91.81,492328,0.0,pelt_rbf,2016-01-05,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.02667392487751763
2016-01-06 00:00:00+00:00,94.34,94.44,94.87,93.88,246300,0.0,pelt_rbf,2016-01-06,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.0014846235418874976
2016-01-07 00:00:00+00:00,94.34,94.44,94.87,93.88,246300,0.0,pelt_rbf,2016-01-07,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.0
2016-01-08 00:00:00+00:00,94.34,94.44,94.87,93.88,246300,0.0,pelt_rbf,2016-01-08,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.0
2016-01-11 00:00:00+00:00,92.25,94.5,95.84,91.0,625380,0.0,pelt_rbf,2016-01-11,-0.34470685323079425,-0.3666666666666667,-0.3,07:55: Российский фондовый рынок обвалился вслед за азиатским | 15:31: Индекс РТС упал ниже 700 пунктов впервые с декабря 2014 года | 17:47: Рубль удивил финансистов своей стойкостью,-0.3289413706461588,-0.7046256242372486,0.0006353240152479067
2016-01-12 00:00:00+00:00,94.4,93.75,97.0,93.13,478815,0.0,pelt_rbf,2016-01-12,-0.9979106783866882,0.25,-0.2,14:31: Биржевой курс доллара опустился ниже 76 руб.,-0.22458213567733765,-0.6701440960296801,-0.007936507936507908
2016-01-13 00:00:00+00:00,93.89,91.6,94.7,91.5,629447,0.0,pelt_rbf,2016-01-13,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,-0.02293333333333336
2016-01-14 00:00:00+00:00,91.87,91.65,92.82,90.26,926893,0.0,pelt_rbf,2016-01-14,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.0005458515283844889
2016-01-15 00:00:00+00:00,91.65,86.59,91.97,86.59,1126868,0.0,pelt_rbf,2016-01-15,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,-0.05521003818876158
2016-01-18 00:00:00+00:00,85.9,90.15,90.73,85.2,1014172,0.0,pelt_rbf,2016-01-18,0.9981600642204285,-0.5,0.5,19:12: Акции «Трансаэро» выросли почти на 60%,0.2996320128440857,-0.14615141791276337,0.04111329252800555
2016-01-19 00:00:00+00:00,92.11,90.45,92.3,88.75,661888,0.0,pelt_rbf,2016-01-19,0.0,-0.8,-0.3,09:04: Сайт Московской биржи оказался недоступен из-за ограничений хостинга,-0.39,-0.5688632717175057,0.0033277870216306127
2016-01-20 00:00:00+00:00,89.58,90.21,92.07,88.0,1093969,0.0,pelt_rbf,2016-01-20,-0.9559233784675598,-0.5,0.5,15:46: Биржевой курс евро подскочил выше 89 руб.,-0.09118467569351196,-0.41482724179228775,-0.002653399668325118
2016-01-21 00:00:00+00:00,90.67,90.0,91.86,89.05,1198064,0.0,pelt_rbf,2016-01-21,0.0,0.5,0.3,17:43: Власти вспомнили о проверенном способе борьбы с обвалами рубля,0.3,0.016911238329394007,-0.002327901563019541
2016-01-22 00:00:00+00:00,91.12,90.28,91.45,88.5,1176448,0.0,pelt_rbf,2016-01-22,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.0031111111111110645
2016-01-25 00:00:00+00:00,90.77,90.0,90.85,89.51,401533,0.0,pelt_rbf,2016-01-25,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,-0.003101462117855558
2016-01-26 00:00:00+00:00,89.9,90.0,90.5,89.32,547365,0.0,pelt_rbf,2016-01-26,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.0
2016-01-27 00:00:00+00:00,90.27,93.65,93.9,89.63,770219,0.0,pelt_rbf,2016-01-27,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.04055555555555568
2016-01-28 00:00:00+00:00,93.4,92.7,95.15,91.27,898487,0.0,pelt_rbf,2016-01-28,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,-0.010144153764015007
2016-01-29 00:00:00+00:00,93.0,95.99,96.0,92.53,1069725,0.0,pelt_rbf,2016-01-29,0.0,-0.5,-0.15000000000000002,08:39: Зампред правления Московской биржи покинет свой пост | 20:07: Советник президента объяснил валютный ажиотаж на бирже бездействием ЦБ,-0.225,-0.286174763300511,0.035490830636461634
2016-02-01 00:00:00+00:00,95.25,96.5,96.67,94.12,622523,0.0,pelt_rbf,2016-02-01,0.9984433054924012,0.85,0.7,12:40: Акции «Аэрофлота» подскочили после сообщений о возможной приватизации,0.8046886610984803,0.65075183293339,0.005313053443066984
2016-02-02 00:00:00+00:00,96.15,96.2,96.68,94.93,545994,0.0,pelt_rbf,2016-02-02,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,-0.0031088082901553626
2016-02-03 00:00:00+00:00,95.8,99.6,100.7,95.21,742785,0.0,pelt_rbf,2016-02-03,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.03534303534303529
2016-02-04 00:00:00+00:00,95.0,92.3,95.99,92.2,4964420,0.0,pelt_rbf,2016-02-04,-0.6647626360257467,-0.3333333333333333,-0.16666666666666666,08:00: Акции Московской биржи упали на 7% после новостей от Chengdong | 10:02: Без лимита: как частный трейдер наторговал валютой на 42 млрд руб. | 13:14: Акции Московской биржи обвалила продажа доли Chengdong с дисконтом в 10%,-0.3162858605384827,-0.02615331328655801,-0.07329317269076308
2016-02-05 00:00:00+00:00,93.19,93.03,95.0,92.52,1310382,0.0,pelt_rbf,2016-02-05,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.00790899241603471
2016-02-08 00:00:00+00:00,93.39,91.14,94.0,90.6,819708,0.0,pelt_rbf,2016-02-08,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,-0.020316027088036148
2016-02-09 00:00:00+00:00,91.25,91.09,91.95,90.12,725755,0.0,pelt_rbf,2016-02-09,0.99481201171875,-0.8,0.5,18:23: Биржевой курс евро взлетел выше 90 руб.,0.20896240234375002,0.2682867634640038,-0.0005486065393899286
2016-02-10 00:00:00+00:00,90.8,90.95,91.5,90.08,757084,0.0,pelt_rbf,2016-02-10,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,-0.0015369414864420117
2016-02-11 00:00:00+00:00,91.0,89.0,91.16,87.79,1139970,0.0,pelt_rbf,2016-02-11,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,-0.021440351841671257
2016-02-12 00:00:00+00:00,89.81,89.58,90.29,88.2,1307313,0.0,pelt_rbf,2016-02-12,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.006516853932584166
2016-02-15 00:00:00+00:00,90.3,90.4,90.76,88.75,1059372,0.0,pelt_rbf,2016-02-15,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.009153828979683087
